time,FLOW,TEMP,SALT,OXY_oxy
2013-05-15,0.016,15.6645,0,292.2598
2013-05-16,0.015,15.3409,0,294.2972
2013-05-17,0.0141,15.2883,0,294.6308
2013-05-18,0.017,14.9034,0,297.0926
2013-05-19,0.0241,14.6352,0,298.83
2013-05-20,0.0385,14.3989,0,300.376
2013-05-21,0.0264,15.2562,0,294.8347
2013-05-22,0.0204,16.0264,0,290.0111
2013-05-23,0.0197,15.6816,0,292.1532
2013-05-24,0.0186,13.7595,0,304.6305
2013-05-25,0.0162,11.8135,0,318.2634
2013-05-26,0.0149,12.6713,0,312.1235
2013-05-27,0.0141,12.9692,0,310.0399
2013-05-28,0.0141,14.819,0,297.6378
2013-05-29,0.014,16.2132,0,288.8619
2013-05-30,0.0132,16.7999,0,285.3063
2013-05-31,0.0143,17.0846,0,283.609
2013-06-01,0.0136,17.2773,0,282.4703
2013-06-02,0.0175,16.9819,0,284.2192
2013-06-03,0.0155,16.8058,0,285.2707
2013-06-04,0.0133,16.4354,0,287.506
2013-06-05,0.0123,16.0664,0,289.7645
2013-06-06,0.0577,15.2289,0,295.0089
2013-06-07,0.0459,15.0014,0,296.4629
2013-06-08,0.0332,15.4024,0,293.9083
2013-06-09,0.0245,16.302,0,288.3189
2013-06-10,0.0265,16.6768,0,286.0458
2013-06-11,0.0286,16.4208,0,287.5946
2013-06-12,0.0233,17.17,0,283.1032
2013-06-13,0.0219,17.817,0,279.324
2013-06-14,0.0182,16.3374,0,288.1028
2013-06-15,0.0159,16.3401,0,288.0862
2013-06-16,0.0151,16.9004,0,284.7049
2013-06-17,0.0151,17.4589,0,281.4049
2013-06-18,0.0175,17.2315,0,282.7403
2013-06-19,0.015,16.8644,0,284.9203
2013-06-20,0.0137,17.1284,0,283.3491
2013-06-21,0.0128,17.1276,0,283.3541
2013-06-22,0.0125,16.9172,0,284.6048
2013-06-23,0.0122,17.9521,0,278.5466
2013-06-24,0.0117,18.4985,0,275.4399
2013-06-25,0.0115,18.6259,0,274.7245
2013-06-26,0.0155,18.5155,0,275.3443
2013-06-27,0.0127,18.0691,0,277.8763
2013-06-28,0.0119,18.8083,0,273.706
2013-06-29,0.0113,18.5847,0,274.9558
2013-06-30,0.0113,18.5663,0,275.0592
2013-07-01,0.0109,18.6531,0,274.5722
2013-07-02,0.0407,18.3465,0,276.2982
2013-07-03,0.0816,17.1885,0,282.9937
